Question ID,Category,Topic,Ref #,Question (FI),Question (EN),Option A (FI),Option A (EN),Option B (FI),Option B (EN),Option C (FI),Option C (EN),Correct (A/B/C),Focus words (FI),Focus words (EN),Positive clues (FI),Positive clues (EN),Negative clues (FI),Negative clues (EN),Explanation (EN),Difficulty,Tags,Status,Reviewer notes
Q024,Passenger Help & Safety,Turvavyö / lapsi / turvalaite,M89,"Mihin 120 cm pituinen lapsi on taksissa sijoitettava, jos lasten turvalaitetta ei ole käytettävissä?",Where must a 120 cm tall child be placed in a taxi if a child restraint is not available?,Lapsen voi laittaa istumaan mille tahansa,The child may be seated anywhere.,Lapsen tulee istua takapenkille käyttäen turvavyötä.,The child must sit in the back seat using the seat belt.,Lapsen voi antaa itse valita,The child may be allowed to choose.,B,120 cm pituinen lapsi; lasten turvalaitetta ei ole käytettävissä,a 120 cm tall child; a child restraint is not available,istua takapenkille käyttäen turvavyötä,sit in the back seat using the seat belt,mille tahansa; antaa itse valita,anywhere; let the child choose,"Without a child restraint, a child of this height must travel in the back seat with the seat belt (B). Seating them anywhere (A) or letting them choose freely (C) is unsafe.",Medium,child; restraint; back seat; seatbelt,ai-draft,
Q025,Passenger Help & Safety,Turvavyö / lapsi / turvalaite,M90,Mikä seuraavista lisää eniten taksinkuljettajien loukkaantumisriskiä liikenteessä?,Which of the following most increases taxi drivers' risk of injury in traffic?,ajoneuvon huono tekninen kunto.,the vehicle's poor technical condition.,Turvavyön käyttämättömyys.,not using the seat belt.,Aggressiivisesti käyttäytyvät asiakkaat. Aggressively behaving customers.,aggressively behaving customers.,B,loukkaantumisriskiä liikenteessä,risk of injury in traffic,Turvavyön käyttämättömyys,not using the seat belt,huono tekninen kunto; Aggressiivisesti käyttäytyvät asiakkaat,poor technical condition; aggressively behaving customers,Not wearing the seat belt is the factor that most increases a driver's injury risk (B). Poor vehicle condition (A) and aggressive customers (C) are real risks but not the leading cause of injury.,Medium,seatbelt; injury risk; driver safety,ai-draft,
Q026,Passenger Help & Safety,Turvavyö / lapsi / turvalaite,M96,Mikä seuraavista on oikein koskien yksin matkustavan alle 15-vuotiaan asiakkaan turvavyön käyttöä?,Which of the following is correct regarding seat-belt use by a customer under 15 travelling alone?,Asiakas itse huolehtii turvavyön käytöstä.,The customer themselves is responsible for seat-belt use.,"Jos kyse ei ole koulukyydistä, kuljettajan ei tarvitse huolehtia asiakkaan turvavyön käytöstä.","If it is not a school ride, the driver does not need to see to the customer's seat-belt use.",Taksinkuljettajan on huolehdittava asiakkaan turvavyön käytöstä.,The taxi driver must see to the customer's seat-belt use.,C,yksin matkustavan alle 15-vuotiaan asiakkaan,a customer under 15 travelling alone,Taksinkuljettajan on huolehdittava,the taxi driver must see to,Asiakas itse huolehtii; ei tarvitse huolehtia,the customer themselves is responsible; does not need to see to,For an under-15 passenger the driver is responsible for seat-belt use (C). A and B wrongly shift or remove that responsibility.,Easy,seatbelt; under 15; driver responsibility,ai-draft,
Q027,Passenger Help & Safety,Turvavyö / lapsi / turvalaite,P10,Miten alle 3-vuotiasta lasta tulee kuljettaa taksissa?,How must a child under 3 be transported in a taxi?,"Lasta voi kuljettaa ilman turvalaitetta, kunhan hän istuu takapenkillä turvavyöhön kytkettynä.","The child may be transported without a child restraint, as long as they sit in the back seat fastened with the seat belt.",Lasta voi kuljettaa täysi-ikäisen matkustajan sylissä takapenkillä.,The child may be carried on an adult passenger's lap in the back seat.,Lapsi tulee aina kuljettaa asianmukaisessa turvalaitteessa.,The child must always be transported in an appropriate child restraint.,C,alle 3-vuotiasta lasta,a child under 3,asianmukaisessa turvalaitteessa,in an appropriate child restraint,ilman turvalaitetta; matkustajan sylissä,without a child restraint; on a passenger's lap,A child under 3 must always ride in a proper child restraint (C). Travelling without one (A) or on a lap (B) is not allowed.,Easy,child; under 3; child restraint,ai-draft,
Q028,Passenger Help & Safety,Turvavyö / lapsi / turvalaite,P12,"Kuinka toimit, kun tilausosoitteeseen saapuessasi huomaat, että matkustaja on kolmevuotias lapsi eikä autossasi ole hänelle sopivaa turvalaitetta?","How do you act when, arriving at the booking address, you notice a passenger is a three-year-old child and your car has no suitable child restraint for them?","Pahoittelet asiakkaille, ettet voi ottaa heitä kyytiin, ja ehdotat tilaavasi heille turvalaitteilla varustetun ajoneuvon.","You apologise that you cannot take them, and propose to order them a vehicle equipped with a child restraint.","Toivotat asiakkaat tervetulleiksi, mutta lapsi joutuu istumaan ilman turvalaitetta etupenkillä turvavöissä.","You welcome the customers, but the child must sit without a restraint in the front seat with the seat belt.","Toivotat asiakkaat tervetulleiksi taksiin, mutta lapsi joutuu istumaan ilman turvalaitetta.","You welcome the customers into the taxi, but the child must sit without a child restraint.",A,kolmevuotias lapsi; hänelle sopivaa turvalaitetta,a three-year-old child; a suitable child restraint for them,turvalaitteilla varustetun ajoneuvon,a vehicle equipped with a child restraint,ilman turvalaitetta etupenkillä; joutuu istumaan ilman turvalaitetta,without a restraint in the front seat; must sit without a child restraint,"Without a suitable restraint you cannot carry a 3-year-old; arrange a properly equipped vehicle (A). Seating the child without a restraint (B, C) is unsafe and not permitted.",Medium,child; child restraint; refusal; alternative vehicle,ai-draft,
Q029,Passenger Help & Safety,Turvavyö / lapsi / turvalaite,P13,Mikä seuraavista pyörätuolin käyttöä ja kiinnittämistä koskevista väitteistä pitää paikkansa?,Which of the following statements about wheelchair use and securing is true?,Sähköpyörätuolia ei tarvitse kiinnittää ajoneuvoon.,An electric wheelchair does not need to be secured to the vehicle.,Asiakkaan ei tarvitse ajon aikana pyörätuolissa istuessaan käyttää ajoneuvon turvavyötä.,The customer does not need to use the vehicle's seat belt while seated in the wheelchair during the drive.,"Pyörätuoli tulee kiinnittää siten, että se estää ainoastaan sivusuuntaisen liikkeen.",The wheelchair must be secured so that it prevents only sideways movement.,B,pyörätuolin käyttöä ja kiinnittämistä,wheelchair use and securing,ei tarvitse ajon aikana pyörätuolissa istuessaan käyttää ajoneuvon turvavyötä,need not use the vehicle's seat belt while seated in the wheelchair during the drive,Sähköpyörätuolia ei tarvitse kiinnittää; ainoastaan sivusuuntaisen liikkeen,an electric wheelchair need not be secured; only sideways movement,"The marked answer is B. A is false — every wheelchair, including an electric one, must be secured. C is false — securing must restrain movement in all directions, not only sideways.",Hard,wheelchair; securing; seatbelt; review-flag,ai-draft,Marked-correct option B is pedagogically questionable: a wheelchair passenger normally should also use the vehicle's seat belt. Verify the answer key against the official source.
Q030,Passenger Help & Safety,Pyörätuoli / avustaminen,P14,Mikä seuraavista pyörätuolin käyttöä ja kiinnittymistä koskevista väitteistä pitää paikkansa?,Which of the following statements about wheelchair use and securing is true?,Pyörätuoli on kiinnitettävä sen rungosta.,The wheelchair must be secured from its frame.,"Nimenomaan sisäkäyttöön tarkoitettua pyörätuolia ei tarvitse kiinnittää ajon aikana, jos taksimatkan pituus on alle kilometrin.",A wheelchair specifically meant for indoor use need not be secured during the drive if the taxi trip is under one kilometre.,"Asiakas päättää, kiinnitetäänkö pyörätuoli.",The customer decides whether the wheelchair is secured.,A,pyörätuolin käyttöä ja kiinnittymistä,wheelchair use and securing,Pyörätuoli on kiinnitettävä sen rungosta,the wheelchair must be secured from its frame,"ei tarvitse kiinnittää ajon aikana; Asiakas päättää, kiinnitetäänkö pyörätuoli",need not be secured during the drive; the customer decides whether to secure it,A wheelchair must be secured by its frame (A). Trip length (B) and customer preference (C) do not remove the requirement.,Medium,wheelchair; securing; frame,ai-draft,
Q031,Passenger Help & Safety,Turvavyö / lapsi / turvalaite,P15,"Kasvava osa taksinkuljetuksista hoidetaan esteettömillä takseilla. Miten pyörätuoli on kiinnitettävä, kun matkustaja istuu matkan ajan pyörätuolissa?",Taxi transport is increasingly done with accessible vehicles. How must the wheelchair be secured when the passenger sits in the wheelchair throughout the journey?,Pyörätuolin jarrut laitetaan päälle ja pyörätuoli kiinnitetään auton turvavyöllä.,The wheelchair brakes are applied and the wheelchair is secured with the car's seat belt.,Pyörätuolin jarrut laitetaan päälle ja pyörätuoli kiinnitetään tuolin rungosta neljästä pisteestä.,The wheelchair brakes are applied and the wheelchair is secured by its frame at four points.,"Asiakas päättää, kiinnitetäänkö pyörätuoli.",The customer decides whether the wheelchair is secured.,B,pyörätuoli on kiinnitettävä; istuu matkan ajan pyörätuolissa,the wheelchair must be secured; sits in the wheelchair throughout the journey,kiinnitetään tuolin rungosta neljästä pisteestä; jarrut laitetaan päälle,secured by its frame at four points; the brakes are applied,"kiinnitetään auton turvavyöllä; Asiakas päättää, kiinnitetäänkö pyörätuoli",secured with the car's seat belt; the customer decides whether to secure it,"Secure the wheelchair by its frame at four points with the brakes on (B). The car seat belt alone (A) is not enough, and it is not the customer's choice (C).",Medium,wheelchair; four-point; securing,ai-draft,
Q032,Passenger Help & Safety,Pyörätuoli / kiinnitys,P16,"Kenen vastuulla on pyörätuolin huolellinen kiinnittäminen taksiin, kun asiakkaalla on mukana henkilökohtainen avustaja?",Whose responsibility is the careful securing of the wheelchair in the taxi when the customer has a personal assistant with them?,Asiakkaan.,The customer's.,Taksinkuljettajan.,The taxi driver's.,Henkilökohtaisen avustajan.,The personal assistant's.,B,pyörätuolin huolellinen kiinnittäminen; henkilökohtainen avustaja,careful securing of the wheelchair; a personal assistant,Taksinkuljettajan,the taxi driver's,Asiakkaan; Henkilökohtaisen avustajan,the customer's; the personal assistant's,"Securing the wheelchair is always the taxi driver's responsibility (B), even when a personal assistant is present. It is not the customer's (A) or the assistant's (C) duty.",Easy,wheelchair; responsibility; personal assistant,ai-draft,
Q033,Passenger Help & Safety,Turvavyö / lapsi / turvalaite,P19,"Taksit hoitavat merkittävän osan kuntien järjestämistä koulu- ja päiväkotikuljetuksista. Oppilaat ovat lapsia ja nuoria, mikä edellyttää kuljettajilta kykyä toimia heidän kanssaan. Oppilaskuljetuksia tekevän taksinkuljettajan kuuluu muun muassa:","Taxis handle a significant share of municipal school and daycare transport. The pupils are children and young people, which requires drivers able to work with them. A driver doing pupil transport should, among other things:","Oppilaan hakeminen ja vieminen sisältä, kotitehtävien tarkastaminen ja oppilaan saattaminen luokkaan.","Fetch and bring the pupil from indoors, check homework, and escort the pupil to the classroom.",Oppilaan turvavyön varmistaminen ja vastuulliseen liikennekäyttäytymiseen opastaminen.,Ensure the pupil's seat belt and guide them toward responsible behaviour in traffic.,"Jatkuva yhteydenpito oppilaiden vanhempien kanssa: kuljettajan tulee soittaa kaikkien kyydissä olevien lasten vanhemmille, kun lapset tulevat kyytiin ja kun he poistuvat kyydistä.",Keep continuous contact with the pupils' parents: the driver must call every child's parents when they board and when they leave.,B,Oppilaskuljetuksia tekevän,doing pupil transport,turvavyön varmistaminen; vastuulliseen liikennekäyttäytymiseen opastaminen,ensuring the seat belt; guiding toward responsible traffic behaviour,kotitehtävien tarkastaminen; soittaa kaikkien kyydissä olevien lasten vanhemmille,checking homework; call the parents of every child in the car,"A pupil-transport driver ensures seat-belt use and models responsible road behaviour (B). Checking homework and escorting to class (A), or phoning every parent each trip (C), are not the driver's duties.",Medium,school transport; pupil; seatbelt; driver role,ai-draft,
